{' No': -0.0043764706, '\n': -13.538564, ' ': -10.545758, ' Generally': -13.064964, 'No': -5.4410486}
{' No': -0.005018744, 'No': -5.3060327, ' ': -10.129332, ' no': -13.360507, '\n': -13.5457535}
{' No': -0.0039754426, '\n': -13.662387, ' ': -10.252804, 'No': -5.539538, ' no': -13.445349}
{' No': -0.0042646467, '\n': -13.425832, ' ': -10.340613, 'No': -5.4682384, ' no': -13.392316}
{' No': -0.008263385, 'No': -4.8368707, ' Generally': -8.423998, ' ': -9.914967, ' A': -11.711067}
{' No': -0.00507374, 'No': -5.295534, ' ': -10.324217, ' Generally': -11.893468, ' A': -13.233599}
{' No': -0.0052074026, 'No': -5.2692146, ' ': -10.389509, ' Generally': -12.009026, ' A': -12.551254}
{' No': -7.3586535, ' Generally': -9.465989, ' Yes': -0.0025480236, ' yes': -9.869102, 'Yes': -6.368491}
{' No': -0.0058681387, '\n': -13.380829, ' ': -10.323228, 'No': -5.1481447, ' A': -12.965169}
{' No': -0.009495874, 'No': -4.7212133, ' Yes': -7.9764585, ' Generally': -9.679883, ' ': -9.780385}
{' No': -0.007008841, ' Not': -12.947047, ' ': -11.196981, ' Generally': -9.846658, 'No': -4.9751043}
{' No': -0.004717768, 'No': -5.363463, ' ': -10.874687, ' no': -13.828222, '\n': -14.310451}
{' No': -0.0041755177, 'No': -5.483862, ' ': -11.41566, ' no': -13.706715, ' NO': -14.886151}
{' No': -0.0048988205, '\n': -14.284496, ' ': -11.139798, 'No': -5.324902, ' no': -13.847342}
{' No': -0.010207559, ' ': -10.4306, ' Generally': -6.8376913, 'No': -4.7172174, ' A': -10.16685}
{' No': -0.0061211227, ' ': -10.695488, ' Generally': -10.437895, 'No': -5.1095963, ' A': -12.153741}
{' No': -0.0070256474, ' ': -10.692085, ' Generally': -10.616148, 'No': -4.970984, ' A': -11.453159}
{' Yes': -0.0026546975, 'Yes': -6.3198714, ' No': -7.6890736, ' Generally': -8.297746, ' yes': -9.520384}
{' No': -0.0073263557, ' ': -10.354507, ' Generally': -12.429974, 'No': -4.9268913, ' A': -11.563381}
{' No': -0.011798897, 'No': -4.5279484, ' An': -7.925318, ' Yes': -8.285748, ' Generally': -8.849705}
{' No': -0.013784778, 'No': -4.297806, ' Generally': -9.687111, ' ': -10.844948, ' Typically': -12.929524}
{' No': -0.009793538, '\n': -13.874619, ' ': -10.217214, 'No': -4.635137, ' no': -13.4333515}
{' No': -0.008837192, ' ': -10.408703, 'No': -4.7371297, ' no': -13.384026, ' NO': -13.964987}
{' No': -0.009343648, '\n': -13.717554, ' ': -10.352731, 'No': -4.681728, ' no': -13.304475}
{' No': -0.019338699, ' ': -10.075802, ' Generally': -6.957601, 'No': -4.0125523, ' A': -10.752016}
{' No': -0.010293793, ' ': -10.222356, ' Generally': -10.174094, 'No': -4.58955, ' A': -13.111079}
{' No': -0.010779176, ' ': -10.17263, ' Generally': -10.871395, 'No': -4.54177, ' A': -12.623021}
{' No': -5.796262, ' Generally': -6.960397, ' Yes': -0.0068830973, ' yes': -9.216189, 'Yes': -5.961898}
{' No': -0.0110453395, ' ': -10.298702, ' Generally': -12.610386, 'No': -4.515466, ' A': -12.200034}
{' An': -8.048232, ' No': -0.023130229, ' Generally': -8.740706, 'No': -3.827175, ' Yes': -7.719945}
{' No': -0.010308302, 'No': -4.5863485, ' ': -10.179973, ' Generally': -10.836112, '\n': -13.255742}
{' No': -0.006945397, '\n': -13.182783, ' ': -9.566238, 'No': -4.9841714, ' no': -13.016429}
{' No': -0.00695404, '\n': -12.455857, ' ': -9.335055, 'No': -4.986036, ' no': -12.771525}
{' No': -0.007619226, '\n': -12.165111, ' ': -9.448356, 'No': -4.8926554, ' no': -12.853325}
{' No': -0.01277396, ' ': -9.4481125, ' Generally': -7.055039, 'No': -4.455912, ' A': -9.780397}
{' No': -0.00997798, '\n': -12.537291, ' ': -9.491493, ' Generally': -11.415231, 'No': -4.6222787}
{' No': -0.010733807, ' ': -9.45418, ' Generally': -11.449441, 'No': -4.549567, ' A': -12.253718}
{' No': -9.716185, ' Generally': -10.037724, ' Yes': -0.0027086632, ' yes': -9.279365, 'Yes': -6.0126586}
{' No': -0.011781108, 'No': -4.45552, ' ': -9.44749, ' A': -11.800256, '\n': -12.305918}
{' An': -8.289241, ' No': -0.013965245, ' ': -9.116715, 'No': -4.3605647, ' Yes': -7.3901763}
{' No': -0.006917668, ' ': -10.639739, ' Generally': -9.78127, ' Typically': -12.670951, 'No': -4.9906325}
{' No': -0.004470226, '\n': -13.943867, ' ': -10.347877, 'No': -5.4208307, ' no': -13.762519}
{' No': -0.0044714226, '\n': -14.137932, ' ': -10.566678, 'No': -5.4189973, ' no': -13.7011175}
{' No': -0.0047487314, '\n': -13.550747, ' ': -10.421188, 'No': -5.3598814, ' A': -13.45737}
{' No': -0.010016028, ' ': -9.772481, ' Generally': -6.965601, 'No': -4.728461, ' A': -10.003625}
{' No': -0.006117644, ' ': -10.474009, ' Generally': -10.347229, 'No': -5.1117296, ' A': -12.221159}
{' No': -0.006465473, ' ': -10.389159, ' Generally': -10.550107, 'No': -5.056094, ' A': -11.56766}
{' Yes': -0.0018656524, 'Yes': -6.484184, ' No': -9.03336, ' Generally': -9.111055, ' yes': -9.77597}
{' No': -0.006967544, ' ': -10.064529, ' Generally': -12.16853, 'No': -4.979334, ' A': -11.479574}
{' An': -7.5748377, ' No': -0.0127515625, ' Generally': -8.627362, 'No': -4.6521826, ' Yes': -6.105664}
{' No': -0.0071082427, ' ': -9.959965, ' Generally': -8.440295, ' Typically': -11.570107, 'No': -4.9923053}
{' No': -0.005341805, '\n': -13.013348, ' ': -9.757125, 'No': -5.2473707, ' A': -13.258717}
{' No': -0.0044705844, '\n': -13.189232, ' ': -9.926103, 'No': -5.425001, ' A': -13.273026}
{' No': -0.0059653893, '\n': -12.59677, ' ': -9.681968, 'No': -5.137212, ' A': -12.554298}
{' No': -0.015110867, ' Generally': -5.475838, ' Typically': -9.097096, 'No': -4.584752, ' A': -8.555232}
{' No': -0.007754671, ' ': -9.753131, ' Generally': -8.804122, 'No': -4.8948703, ' A': -11.132125}
{' No': -0.008465879, ' ': -9.538253, ' Generally': -8.977555, 'No': -4.8056345, ' A': -10.350655}
{' No': -8.301655, ' Generally': -6.81305, ' A': -9.158901, ' Yes': -0.0037523191, 'Yes': -6.1849103}
{' No': -0.009170149, ' ': -9.525901, ' Generally': -11.190421, 'No': -4.710302, ' A': -10.431241}
{' No': -0.013623379, 'No': -4.4334593, ' An': -7.261727, ' Generally': -7.883651, ' Yes': -8.624948}
{' No': -0.0054181507, 'No': -5.2298822, ' Generally': -10.551002, ' ': -10.946673, ' Typically': -13.523039}
{' No': -0.0034622473, ' ': -10.511126, 'No': -5.676317, ' no': -13.85559, ' NO': -14.409445}
{' No': -0.0032789414, '\n': -14.398653, ' ': -10.517023, 'No': -5.731104, ' no': -13.805179}
{' No': -0.0034477727, 'No': -5.6812024, ' ': -10.4508915, ' no': -13.793938, '\n': -14.131127}
{' No': -0.008216568, ' ': -10.117112, ' Generally': -6.7048388, 'No': -4.9939017, ' A': -9.815637}
{' No': -0.004784904, ' ': -10.653419, ' Generally': -10.461747, 'No': -5.3577704, ' A': -12.331301}
{' No': -0.0056062853, ' ': -10.493806, ' Generally': -10.777927, 'No': -5.197764, ' A': -11.72523}
{' No': -9.010028, ' Generally': -9.010509, ' Yes': -0.0017762601, ' yes': -9.748069, 'Yes': -6.553038}
{' No': -0.005829947, 'No': -5.1561403, ' ': -10.305079, ' A': -11.680852, ' Generally': -12.641888}
{' An': -8.728539, ' No': -0.008327093, ' Generally': -9.230964, 'No': -4.850387, ' Yes': -9.169586}
{' No': -0.0060245125, ' ': -10.484623, ' Generally': -9.032865, ' Typically': -12.160141, 'No': -5.1423388}
{' No': -0.0043223533, '\n': -14.025665, ' ': -10.221819, 'No': -5.4554996, ' no': -13.879283}
{' No': -0.0033429912, ' ': -10.318398, 'No': -5.713586, ' A': -13.963888, ' no': -13.976853}
{' No': -0.0037418474, '\n': -13.6741, ' ': -10.201917, 'No': -5.6013103, ' A': -13.486768}
{' No': -0.010967657, ' Generally': -5.6520176, ' Typically': -9.138758, 'No': -4.9601865, ' A': -9.187786}
{' No': -0.005056426, ' ': -10.158779, ' Generally': -9.46569, 'No': -5.3167953, ' A': -11.540482}
{' No': -0.0053595435, ' ': -10.051728, ' Generally': -9.956372, 'No': -5.253307, ' A': -10.992838}
{' No': -8.413998, ' Generally': -7.9423337, ' Yes': -0.002181003, ' yes': -9.554229, 'Yes': -6.5439}
{' No': -0.0055588735, ' ': -9.808088, ' Generally': -12.202795, 'No': -5.2090383, ' A': -11.41482}
{' An': -8.592499, ' No': -0.0074722706, ' ': -9.461599, ' Generally': -8.992447, 'No': -4.967038}
{' No': -0.0055114636, ' ': -10.578552, ' Generally': -9.727026, ' Typically': -12.666653, 'No': -5.2213354}
{' No': -0.004200299, 'No': -5.4849186, ' ': -10.152918, '\n': -13.80005, ' no': -13.848535}
{' No': -0.0030135806, '\n': -13.86783, ' ': -10.316533, 'No': -5.8184314, ' no': -13.9138}
{' No': -0.0036769945, '\n': -13.401875, ' ': -10.203242, 'No': -5.6189756, ' no': -13.788691}
{' No': -0.009965817, ' Generally': -6.164562, ' Typically': -9.558983, 'No': -4.8897533, ' A': -9.369286}
{' No': -0.0051407767, ' ': -10.379492, ' Generally': -10.31399, 'No': -5.288061, ' A': -12.200342}
{' No': -0.005794635, ' ': -10.21582, ' Generally': -10.651171, 'No': -5.166874, ' A': -11.652458}
{' No': -8.772124, ' Generally': -8.631703, ' Yes': -0.0020368125, ' yes': -9.690591, 'Yes': -6.4495826}
{' No': -0.0060669687, ' ': -10.006079, ' Generally': -12.697096, 'No': -5.1180263, ' A': -11.768192}
{' An': -9.068727, ' No': -0.008534348, ' Generally': -9.407353, 'No': -4.80996, ' Yes': -9.743263}
{' No': -0.007133938, ' ': -10.255687, ' Generally': -8.366458, ' Typically': -11.643877, 'No': -4.9895806}
{' No': -0.0049716593, '\n': -12.881702, ' ': -9.893071, 'No': -5.318309, ' no': -13.463975}
{' No': -0.004253153, '\n': -13.166684, ' ': -10.198851, 'No': -5.4727225, ' A': -13.183265}
{' No': -0.0053560077, 'No': -5.241577, ' ': -10.149494, ' A': -12.582861, '\n': -12.589245}
{' No': -0.012905032, ' Generally': -5.624494, ' Typically': -9.264725, 'No': -4.763168, ' A': -8.247233}
{' No': -0.006376508, 'No': -5.0865936, ' Generally': -9.28734, ' ': -9.979235, ' A': -10.857229}
{' No': -0.0070156828, ' ': -9.88015, ' Generally': -9.445115, 'No': -4.9909787, ' A': -10.047464}
{' No': -7.7079353, ' Generally': -6.7683716, ' A': -8.769536, ' Yes': -0.0040911874, 'Yes': -6.183261}
{' No': -0.0076461937, ' ': -9.690097, ' Generally': -11.702827, 'No': -4.8931136, ' A': -10.222427}
{' No': -0.010878171, 'No': -4.671414, ' An': -7.1612606, ' Generally': -8.324631, ' ': -9.006899}
{' No': -0.006429, 'No': -5.1016455, ' Generally': -8.204522, ' ': -10.833037, ' Typically': -11.484987}
{' No': -0.0039252387, ' ': -10.534091, 'No': -5.549904, ' A': -14.458556, ' no': -14.195362}
{' No': -0.0033449652, 'No': -5.7087226, ' ': -10.830888, ' A': -14.067743, ' no': -14.265365}
{' No': -0.0038724034, ' ': -10.681114, 'No': -5.5628567, ' A': -13.2344885, ' no': -14.212088}
{' No': -0.012793035, ' Generally': -5.4798493, ' Typically': -9.266017, 'No': -4.82218, ' A': -8.697062}
{' No': -0.0060488, ' ': -10.44706, ' Generally': -8.992737, 'No': -5.1408443, ' A': -11.289864}
{' No': -0.0066484623, 'No': -5.0414248, ' Generally': -9.251252, ' ': -10.259873, ' A': -10.756793}
{' No': -8.512627, ' Generally': -6.908064, ' Yes': -0.0031188661, ' yes': -9.346333, 'Yes': -6.4014363}
{' No': -0.006263982, 'No': -5.088351, ' ': -10.061673, ' A': -10.870354, ' Generally': -11.5956}
{' No': -0.009603171, 'No': -4.788315, ' An': -7.5604835, ' Generally': -8.190473, ' Yes': -8.634583}
{' No': -0.009944508, 'No': -4.6443624, ' Generally': -8.4518385, ' ': -10.255553, ' Typically': -11.346744}
{' No': -0.007125052, ' ': -9.6239195, 'No': -4.958125, ' A': -13.747608, ' no': -12.78671}
{' No': -0.005643748, 'No': -5.1919875, ' ': -9.711959, ' no': -12.813864, '\n': -13.89546}
{' No': -0.006491147, ' ': -9.597954, 'No': -5.052523, ' A': -13.340413, ' no': -12.533122}
{' No': -0.015180155, ' Generally': -5.7106147, ' Typically': -9.173038, 'No': -4.5082603, ' A': -8.010507}
{' No': -0.008748985, ' ': -9.767127, ' Generally': -9.468084, 'No': -4.7623744, ' A': -10.930763}
{' No': -0.009177789, ' ': -9.45526, ' Generally': -9.834955, 'No': -4.714385, ' A': -10.577093}
{' Generally': -7.817303, ' A': -9.586119, ' Yes': -0.0030643372, ' yes': -8.907897, 'Yes': -6.0603533}
{' No': -0.014826078, ' ': -8.452936, ' Generally': -11.299758, 'No': -4.240505, ' A': -9.635257}
{' An': -5.5122375, ' No': -0.0645048, ' Generally': -6.74988, 'No': -4.3276653, ' Yes': -3.1625345}
{' No': -0.0066033425, ' ': -10.213823, ' Generally': -10.498938, ' Typically': -13.352897, 'No': -5.0342884}
{' No': -0.0038980145, '\n': -14.520558, ' ': -10.03161, 'No': -5.561591, ' no': -13.445994}
{' No': -0.0030484975, 'No': -5.8094387, ' ': -10.075893, ' no': -13.688451, '\n': -14.640821}
{' No': -0.0036628782, '\n': -14.084482, ' ': -9.917078, 'No': -5.6259904, ' no': -13.441651}
{' No': -0.010142527, ' ': -9.436095, ' Generally': -7.0889425, 'No': -4.7018733, ' A': -10.177972}
{' No': -0.0054908483, ' ': -9.997022, ' Generally': -10.639733, 'No': -5.222196, ' A': -12.221844}
{' No': -0.006040884, ' ': -9.816528, ' Generally': -10.758686, 'No': -5.1272454, ' A': -11.802614}
{' No': -9.163251, ' Generally': -8.889873, ' Yes': -0.0018920472, ' yes': -9.769863, 'Yes': -6.4836154}
{' No': -0.0064118425, ' ': -9.545382, ' Generally': -12.816056, 'No': -5.066413, ' A': -11.820191}
{' An': -6.955872, ' No': -0.0316644, ' Generally': -7.5917, 'No': -4.448712, ' Yes': -4.0454183}
{' No': -0.00700956, ' ': -10.118209, ' Generally': -9.347276, ' Typically': -12.189947, 'No': -4.984665}
{' No': -0.005132811, 'No': -5.2889004, ' ': -9.61435, ' no': -12.88478, ' A': -14.016337}
{' No': -0.0036564774, 'No': -5.6289825, ' ': -9.83501, ' no': -13.169898, ' A': -14.254232}
{' No': -0.0043974863, ' ': -9.656714, 'No': -5.444873, ' A': -13.686092, ' no': -12.93988}
{' No': -0.011603203, ' ': -8.842121, ' Generally': -6.227167, 'No': -4.698935, ' A': -8.785785}
{' No': -0.006544844, ' ': -9.577169, ' Generally': -10.333299, 'No': -5.050528, ' A': -11.723148}
{' No': -0.0066555436, 'No': -5.032889, ' ': -9.490738, ' Generally': -10.834918, ' A': -11.402121}
{' Yes': -0.00234254, 'Yes': -6.3162403, ' Generally': -8.2528515, ' yes': -9.173587, ' ': -9.748771}
{' No': -0.0064864107, ' ': -9.125831, ' Generally': -12.64997, 'No': -5.062106, ' A': -11.167816}
{' An': -6.65087, ' No': -0.025007693, ' Generally': -7.4349194, 'No': -4.5805306, ' Yes': -4.4374523}
{' No': -0.0065701636, ' ': -10.178411, ' Generally': -8.967036, ' Typically': -11.888408, 'No': -5.056752}
{' No': -0.004584051, ' ': -9.630892, 'No': -5.402903, ' A': -14.33034, ' no': -13.172851}
{' No': -0.003178662, ' ': -9.977597, 'No': -5.768725, ' A': -14.453167, ' no': -13.419863}
{' No': -0.003543417, ' ': -9.711068, 'No': -5.663142, ' A': -13.521951, ' no': -13.283289}
{' No': -0.0130094355, ' ': -9.003108, ' Generally': -5.8688116, 'No': -4.6458845, ' A': -8.581155}
{' No': -0.0056050876, ' ': -9.773976, ' Generally': -9.929807, 'No': -5.20942, ' A': -11.384021}
{' No': -0.0064123822, ' ': -9.592284, ' Generally': -9.9728155, 'No': -5.0751834, ' A': -10.855868}
{' Generally': -7.482711, ' A': -10.00694, ' Yes': -0.0024963352, ' yes': -9.327946, 'Yes': -6.3824096}
{' No': -0.0065497644, 'No': -5.0494957, ' ': -9.367743, ' A': -11.062512, ' Generally': -11.698272}
{' An': -6.65326, ' No': -0.017120983, ' Generally': -7.008164, 'No': -4.6574883, ' Yes': -5.3794637}
{' No': -0.008089592, ' ': -10.045252, ' Generally': -9.089237, ' Typically': -12.051693, 'No': -4.8429475}
{' No': -0.004802453, '\n': -13.9077015, ' ': -9.714837, 'No': -5.354749, ' no': -13.119077}
{' No': -0.0041922177, '\n': -14.098027, ' ': -9.885583, 'No': -5.489797, ' no': -13.259113}
{' No': -0.0043444424, '\n': -13.949714, ' ': -9.874658, 'No': -5.454061, ' no': -13.173538}
{' No': -0.013464482, ' ': -8.94405, ' Generally': -6.115597, 'No': -4.5313153, ' A': -8.948633}
{' No': -0.0067775366, 'No': -5.013417, ' ': -9.683833, ' Generally': -10.407602, ' A': -11.92537}
{' No': -0.007825975, 'No': -4.87101, ' ': -9.450261, ' Generally': -10.400535, ' A': -11.282217}
{' No': -9.615912, ' Generally': -7.653518, ' Yes': -0.0029334736, ' yes': -9.140586, 'Yes': -6.137792}
{' No': -0.007646794, ' ': -9.243383, ' Generally': -12.449414, 'No': -4.892992, ' A': -11.395809}
{' An': -6.50282, ' No': -0.026872113, ' Generally': -6.8851767, 'No': -4.414754, ' Yes': -4.509546}
{' No': -0.0080056535, ' ': -10.10047, ' Generally': -8.507633, ' Typically': -11.473095, 'No': -4.865734}
{' No': -0.00624383, 'No': -5.090369, ' ': -9.659764, ' no': -13.118864, '\n': -14.273169}
{' No': -0.0052524623, '\n': -14.410779, ' ': -9.809087, 'No': -5.2630534, ' no': -13.1598215}
{' No': -0.005420727, ' ': -9.704815, 'No': -5.2325892, ' A': -13.901874, ' no': -13.037621}
{' No': -0.015391135, ' Generally': -5.4462514, ' Typically': -8.95341, 'No': -4.580073, ' A': -8.23128}
{' No': -0.007960592, ' ': -9.686154, ' Generally': -9.434024, 'No': -4.8582525, ' A': -11.403385}
{' No': -0.00787588, 'No': -4.8678327, ' ': -9.554005, ' Generally': -9.773552, ' A': -10.926865}
{' Yes': -0.0034730746, 'Yes': -6.0705824, ' Generally': -7.127313, ' yes': -8.995366, ' A': -9.541916}
{' No': -0.008366579, ' ': -9.217571, ' Generally': -11.94904, 'No': -4.803082, ' A': -11.172566}
{' No': -0.022469217, 'No': -4.363232, ' Yes': -5.2042737, ' An': -6.359774, ' Generally': -6.7110043}
{' No': -0.0074832584, ' ': -10.226435, ' Generally': -8.131893, ' Typically': -11.2429905, 'No': -4.9487276}
{' No': -0.005449074, ' ': -9.704723, 'No': -5.2274356, ' A': -13.822559, ' no': -13.133076}
{' No': -0.005108787, 'No': -5.290381, ' ': -9.906197, ' no': -13.10891, ' A': -13.434623}
{' No': -0.005077335, ' ': -9.873752, 'No': -5.2969813, ' A': -13.290532, ' no': -13.14955}
{' No': -0.015354818, ' Generally': -5.2900257, ' Typically': -8.864077, 'No': -4.6788774, ' A': -7.8524194}
{' No': -0.007006319, 'No': -4.9886823, ' Generally': -9.429612, ' ': -9.735377, ' A': -11.084132}
{' No': -0.007826456, ' ': -9.582216, ' Generally': -9.330965, 'No': -4.8806214, ' A': -10.333096}
{' Yes': -0.0031992896, 'Yes': -6.265911, ' Generally': -7.00346, ' yes': -9.01931, ' A': -9.310583}
{' No': -0.007286969, 'No': -4.943595, ' ': -9.389473, ' A': -10.465478, ' Generally': -11.463532}
{' An': -6.0101476, ' No': -0.02150562, ' Generally': -6.517751, 'No': -4.4583797, ' Yes': -5.5138874}
{' No': -0.0078037484, ' ': -10.531318, ' Generally': -8.313058, ' Typically': -11.384069, 'No': -4.8961854}
{' No': -0.0056234887, ' ': -9.959395, 'No': -5.1928334, ' A': -14.168619, ' no': -13.485939}
{' No': -0.0032954474, ' ': -10.313083, 'No': -5.727832, ' A': -14.509523, ' no': -13.788623}
{' No': -0.0041123745, ' ': -10.007334, 'No': -5.50795, ' A': -13.57135, ' no': -13.494424}
{' No': -0.015762322, ' Generally': -5.3982596, ' Typically': -8.946004, 'No': -4.5505924, ' A': -8.651208}
{' No': -0.006816784, ' ': -10.134129, ' Generally': -9.118494, 'No': -5.017778, ' A': -11.213936}
{' No': -0.007647155, 'No': -4.9003754, ' Generally': -9.35873, ' ': -9.86185, ' A': -10.579086}
{' Generally': -7.1982794, ' A': -9.73998, ' Yes': -0.0026948575, ' yes': -9.268638, 'Yes': -6.392455}
{' No': -0.007254307, ' ': -9.675074, ' Generally': -11.783237, 'No': -4.942639, ' A': -11.070475}
{' No': -0.022384796, 'No': -4.512371, ' Yes': -5.0652657, ' An': -6.113159, ' Generally': -6.5594726}
{' No': -0.011705841, ' ': -10.728994, ' Generally': -8.404293, ' Typically': -11.394008, 'No': -4.4778824}
{' No': -0.0073952274, 'No': -4.9184785, ' ': -9.924196, ' no': -12.820134, ' A': -13.52584}
{' No': -0.0069076447, ' ': -10.014224, 'No': -4.986413, ' A': -13.214739, ' no': -12.728686}
{' No': -0.008175464, ' ': -9.980421, 'No': -4.818066, ' A': -12.339108, ' no': -12.599748}
{' No': -0.02126838, 'No': -4.179729, ' Generally': -5.3354297, ' A': -7.9912486, ' On': -8.680083}
{' No': -0.010835933, ' ': -10.10622, ' Generally': -8.99563, 'No': -4.5495205, ' A': -10.769784}
{' No': -0.011633838, 'No': -4.47388, ' Generally': -9.630065, ' ': -9.890798, ' A': -10.376066}
{' Generally': -7.8383784, ' A': -10.306621, ' Yes': -0.0033432303, ' yes': -8.963372, 'Yes': -5.9204593}
{' No': -0.0123840375, ' ': -9.730374, ' Generally': -10.789348, 'No': -4.4101443, ' A': -9.776071}
{' An': -6.1282744, ' No': -0.027273115, ' Generally': -6.961767, 'No': -4.0080066, ' Yes': -5.4551253}
{' No': -0.017468961, ' ': -9.264102, ' Generally': -8.24442, ' Typically': -11.177252, 'No': -4.0803504}
{' No': -0.012612903, '\n': -11.353807, ' ': -8.630492, 'No': -4.395921, ' no': -12.255146}
{' No': -0.013655705, '\n': -11.285406, ' ': -8.629949, 'No': -4.315938, ' no': -12.069141}
{' No': -0.013764354, 'No': -4.3120184, ' ': -8.458291, '\n': -10.698653, ' A': -11.591788}
{' No': -0.023699382, ' ': -8.495861, ' Generally': -5.567452, 'No': -3.9793208, ' A': -8.440532}
{' No': -0.020218894, ' ': -8.830898, ' Generally': -9.235018, 'No': -3.9263465, ' A': -10.715717}
{' No': -0.019874455, ' ': -8.608696, ' Generally': -9.654959, 'No': -3.9449537, ' A': -10.223649}
{' No': -8.750372, ' Generally': -7.947729, ' Yes': -0.004795385, ' yes': -8.711624, 'Yes': -5.5533223}
{' No': -0.016696334, '\n': -11.21558, ' ': -8.406142, 'No': -4.119918, ' A': -10.091015}
{' An': -6.9701724, ' No': -0.030548234, ' ': -7.632381, 'No': -3.6171608, ' Yes': -6.7554965}
{' No': -0.008790052, ' ': -10.208403, ' Generally': -9.546332, ' Typically': -12.466761, 'No': -4.752635}
{' No': -0.006954641, '\n': -13.694659, ' ': -9.475763, 'No': -4.9839783, ' no': -12.734891}
{' No': -0.0064711724, '\n': -13.987402, ' ': -9.805764, 'No': -5.0532355, ' no': -12.696535}
{' No': -0.0065038675, ' ': -9.779349, 'No': -5.048595, ' A': -13.343879, ' no': -12.677917}
{' No': -0.014949796, ' On': -8.703024, ' Generally': -5.579521, 'No': -4.5815716, ' A': -8.237552}
{' No': -0.008486378, ' ': -9.796925, ' Generally': -9.760912, 'No': -4.7895856, ' A': -11.513982}
{' No': -0.008888491, ' ': -9.68746, ' Generally': -10.25473, 'No': -4.741516, ' A': -11.035082}
{' No': -9.135259, ' Generally': -7.543546, ' Yes': -0.003036479, ' yes': -8.844056, 'Yes': -6.156244}
{' No': -0.00897028, ' ': -9.525736, ' Generally': -11.739228, 'No': -4.7319736, ' A': -10.3986225}
{' An': -6.1807346, ' No': -0.02384416, ' Generally': -7.192447, 'No': -4.3086686, ' Yes': -5.1260204}
{' No': -0.0076699783, ' ': -10.572972, ' Generally': -8.908573, ' Typically': -11.996811, 'No': -4.897881}
{' No': -0.0063512563, 'No': -5.0698943, ' ': -10.038711, ' no': -13.2635565, ' A': -14.324906}
{' No': -0.004766638, 'No': -5.356123, ' ': -10.342908, ' no': -13.321171, ' A': -13.888738}
{' No': -0.0061189625, 'No': -5.107153, ' ': -10.097029, ' A': -13.171034, ' no': -13.207178}
{' No': -0.016009644, ' On': -8.85623, ' Generally': -5.3717113, 'No': -4.570054, ' A': -7.875039}
{' No': -0.007384838, 'No': -4.931211, ' Generally': -9.540967, ' ': -9.995908, ' A': -11.288441}
{' No': -0.008031553, ' ': -9.876176, ' Generally': -10.053536, 'No': -4.8437133, ' A': -10.855363}
{' Yes': -0.0034640422, 'Yes': -6.175482, ' Generally': -6.979803, ' No': -8.921152, ' yes': -9.060606}
{' No': -0.007785906, ' ': -9.874154, ' Generally': -11.704687, 'No': -4.871502, ' A': -10.501986}
{' An': -6.631581, ' No': -0.015438528, ' Ele': -7.3695083, 'No': -4.438336, ' Yes': -7.4320107}
{' No': -0.008916274, 'No': -4.755727, ' Generally': -8.475575, ' ': -10.126943, ' Typically': -11.54346}
{' No': -0.007126613, '\n': -14.019068, ' ': -9.642241, 'No': -4.9575186, ' no': -12.946049}
{' No': -0.005311424, '\n': -13.888471, ' ': -9.828575, 'No': -5.251851, ' no': -12.995583}
{' No': -0.005952258, ' ': -9.716981, 'No': -5.1385813, ' A': -13.017532, ' no': -12.883507}
{' No': -0.018340224, ' On': -8.46448, ' Generally': -5.1103277, 'No': -4.508315, ' A': -7.7567353}
{' No': -0.008628792, 'No': -4.781641, ' Generally': -9.074933, ' ': -9.645384, ' A': -11.043574}
{' No': -0.008733592, 'No': -4.7648673, ' ': -9.579479, ' Generally': -9.637457, ' A': -10.55841}
{' No': -9.424976, ' Generally': -7.2147684, ' Yes': -0.0033294153, ' yes': -8.880803, 'Yes': -6.12114}
{' No': -0.0089040045, ' ': -9.550692, ' Generally': -11.399173, 'No': -4.7388897, ' A': -10.562988}
{' An': -6.1906323, ' No': -0.020065878, ' Generally': -6.8970284, 'No': -4.3794026, ' Yes': -5.826166}
{' No': -0.009039505, ' ': -10.512678, ' Generally': -8.037771, ' Typically': -11.119833, 'No': -4.754442}
{' No': -0.0064216214, ' ': -9.825561, ' Generally': -13.988156, 'No': -5.060594, ' no': -13.408375}
{' No': -0.0055571967, 'No': -5.2043715, ' ': -10.02428, ' no': -13.35908, ' A': -13.446571}
{' No': -0.005626667, ' ': -9.875325, 'No': -5.193561, ' A': -12.81057, ' no': -13.307578}
{' No': -0.021657944, ' Generally': -4.7915707, ' Typically': -8.313493, 'No': -4.4275723, ' A': -7.8714137}
{' No': -0.00937024, ' ': -9.920043, ' Generally': -8.794328, 'No': -4.699878, ' A': -11.220038}
{' No': -0.010028973, ' ': -9.680404, ' Generally': -9.213962, 'No': -4.6273727, ' A': -10.62702}
{' No': -8.687889, ' Generally': -6.426346, ' A': -8.759693, ' Yes': -0.0042995447, 'Yes': -6.1870956}
{' No': -0.008688317, ' ': -9.701107, ' Generally': -10.981794, 'No': -4.7639966, ' A': -10.340223}
{' No': -0.018988794, 'No': -4.3343554, ' An': -6.3127522, ' Generally': -6.706488, ' Yes': -6.8816514}
