{' Odd': -5.8681273, ' 1': -4.142514, ' odd': -0.10561937, ' 0': -6.320852, ' even': -2.6149137}
{'\n': -6.156964, ' ': -6.2687764, ':': -5.3559346, ' Even': -5.571072, ' even': -0.018336033}
{' Odd': -5.088547, ' an': -5.4876475, ' 1': -4.0810585, ' odd': -0.07356534, ' even': -3.299108}
{':': -6.381073, ' an': -6.5467777, ' Even': -6.8716187, ' 0': -6.357299, ' even': -0.008479703}
{' odd': -0.038619597, ' even': -3.8488927, ' 1': -4.97162, ' Odd': -5.4233155, ' an': -5.9743643}
{' ': -7.215703, ':': -5.851258, ' an': -6.055559, ' Even': -6.858083, ' even': -0.008948026}
{'\n': -5.6741366, ' Odd': -4.0604434, ' 1': -4.4346824, ' odd': -0.056779172, ' even': -4.227166}
{' odd': -0.20261542, ' even': -1.928678, ' 1': -4.3656497, ' 0': -4.5615315, ' Odd': -5.808997}
{' an': -6.040639, ' Even': -7.401879, ' "': -7.0908966, ' 0': -7.255246, ' even': -0.007013701}
{' Odd': -5.631984, ' an': -7.2194448, ' 1': -5.1601896, ' odd': -0.0206605, ' even': -4.817524}
{' ': -6.643835, ' an': -5.770852, ' Even': -5.9680486, ' "': -6.6357994, ' even': -0.0115624415}
{'\n': -5.2858434, ' Odd': -5.616069, ' 1': -2.466504, ' odd': -0.26643008, ' even': -2.0370712}
{' ': -7.9654126, ':': -7.3386583, ' an': -7.2584324, ' Even': -7.58419, ' even': -0.0031642509}
{' Odd': -5.122349, ' ': -7.3673306, ' an': -5.591809, ' odd': -0.032400575, ' even': -3.9785807}
{' ': -8.082523, ':': -7.602305, ' an': -6.5272536, ' Even': -7.171647, ' even': -0.004154271}
{' odd': -0.09312197, ' even': -3.3579679, ' Odd': -3.8863251, ' 1': -3.8959458, ' an': -5.5330443}
{' odd': -0.49392197, ' even': -1.1504753, ':': -3.8458803, ' Odd': -3.9379315, ' "': -4.899867}
{' an': -5.0500946, ' considered': -6.4997044, ' Even': -6.5507345, ' "': -5.267485, ' even': -0.022384671}
{' odd': -0.15505955, ' even': -2.0641627, ' Odd': -5.509979, ' an': -5.95351, ' 1': -6.006596}
{' ': -7.6536922, ' an': -6.21205, ' Even': -6.604112, ' "': -6.9135003, ' even': -0.005974623}
{' odd': -0.11866529, ' 1': -2.9341016, ' even': -3.2096453, ' Odd': -5.03422, ':': -5.4988003}
{' an': -5.449747, ' Even': -7.3800507, ' "': -7.295136, ' odd': -7.9087677, ' even': -0.007130156}
{' Odd': -5.4916334, ' ': -5.737612, ' 1': -1.9932023, ' odd': -0.19599937, ' even': -3.6361978}
{' an': -4.8393965, ' Even': -6.530059, ' "': -6.163501, ' odd': -6.572191, ' even': -0.016648818}
{' Odd': -5.1008873, ' an': -5.470747, ' 1': -3.850361, ' odd': -0.051327977, ' even': -4.3515387}
{' even': -0.7068143, ' odd': -0.7481466, ':': -4.746443, ' an': -5.19979, ' Odd': -5.345087}
{' an': -7.0574107, ' Even': -7.161026, ' "': -7.1945434, ' 0': -7.2836146, ' even': -0.0051456313}
{' odd': -0.04588485, ' 1': -3.4624562, ' even': -4.787947, ' Odd': -6.3699183, ' an': -6.868345}
{':': -6.2312117, ' an': -5.0723057, ' Even': -5.7531013, ' "': -6.3755274, ' even': -0.019627027}
{'\n': -4.5746546, ' Odd': -5.196637, ' 1': -3.2154067, ' odd': -0.11257854, ' even': -3.3240824}
{' even': -0.00431062, ' an': -6.6251435, ' odd': -7.1586323, ' Even': -7.181268, ' ': -7.7110524}
{' Odd': -5.6751804, ' an': -5.7495027, ' 1': -3.646615, ' odd': -0.048956145, ' even': -4.5269823}
{' ': -6.684169, ' an': -4.761402, ' "': -6.8207674, ' odd': -6.5621524, ' even': -0.016245997}
{' Odd': -3.6105115, ' an': -4.779327, ' 1': -3.975804, ' odd': -0.09246423, ' even': -3.8423724}
{' ': -5.785589, ' an': -5.8630414, ' "': -5.6785192, ' odd': -0.8332627, ' even': -0.60922736}
{'\n': -5.3037267, ' ': -5.6797876, ':': -3.4749663, ' an': -5.4181595, ' even': -0.063871786}
{' odd': -0.021551479, ' 1': -4.5487504, ' Odd': -5.3402295, ' even': -6.5186796, ' "': -6.6348367}
{' ': -7.5797615, ':': -6.933684, ' Even': -6.069646, ' EVEN': -7.351898, ' even': -0.0057646595}
{' Odd': -4.402278, ':': -5.2070475, ' 1': -4.3574667, ' odd': -0.16738047, ' even': -2.215293}
{' even': -0.01054025, ' an': -5.4815364, ' 0': -6.203862, ' ': -6.750299, ' Even': -7.30491}
{' Odd': -3.8811417, ' ': -6.504952, ' an': -6.002225, ' odd': -0.037305035, ' even': -5.020465}
{' even': -0.008427109, ' an': -6.0180492, ' ': -6.816176, ':': -6.8488436, ' odd': -6.9540462}
{' Odd': -5.592779, ' an': -5.2492194, ' 1': -3.9284701, ' odd': -0.09366747, ' even': -2.9928656}
{'\n': -2.8834682, ' Odd': -3.7992709, ':': -2.9560142, ' odd': -0.36297473, ' even': -2.1566215}
{' ': -7.2984557, ' an': -6.5822268, ' "': -7.114692, ' odd': -6.608625, ' even': -0.0065700435}
{'\n': -6.2130356, ' Odd': -4.754301, ' 1': -5.174393, ' odd': -0.02785144, ' even': -5.081328}
{':': -5.8754253, ' an': -6.199499, ' Even': -5.5360184, ' "': -6.2744045, ' even': -0.01434514}
{' odd': -0.3136245, ' even': -1.861273, ' 1': -2.5168962, ' an': -4.9370623, ' ': -5.2260137}
{' even': -0.0065007475, ' an': -5.638893, ' Even': -6.850574, ' "': -7.948595, ' ': -7.950152}
{' Odd': -4.4899035, ' an': -5.2330613, ' 1': -4.838029, ' odd': -0.096160986, ' even': -2.9637206}
{':': -6.2623696, ' an': -3.9816444, ' Even': -5.8873725, ' "': -5.429346, ' even': -0.034219682}
{' Odd': -3.5140548, ' an': -5.1549115, ' 1': -4.015572, ' odd': -0.19230807, ' even': -2.2616277}
{' even': -0.72988886, ' odd': -0.7764377, ':': -4.507824, ' "': -4.8283486, ' an': -5.119802}
{' even': -0.008213985, ' an': -6.047006, ' "': -6.257987, ' Even': -7.1177263, ' odd': -7.4898167}
{' odd': -0.03885653, ' even': -4.0455894, ' 1': -4.9568553, ' Odd': -5.502024, ' an': -5.705928}
{' ': -6.254898, ':': -5.3417006, ' Even': -5.3417616, ' EVEN': -6.8514743, ' even': -0.015762564}
{' Odd': -4.312915, ' ': -5.1789694, ':': -5.1753006, ' odd': -0.13923377, ' even': -2.447717}
{' even': -0.012374746, ' an': -5.1404386, ' Even': -6.629103, ' "': -6.7847514, ' ': -6.8395534}
{' odd': -0.053899292, ' Odd': -4.3184524, ' even': -4.5213656, ':': -4.894016, '\n': -5.612661}
{'\n': -6.36114, ':': -4.7651997, ' an': -5.5077486, ' Even': -5.550645, ' even': -0.023591118}
{'\n': -5.760444, ' Odd': -4.789327, ' 1': -4.1611924, ' odd': -0.050676145, ' even': -4.328445}
{' odd': -0.048335694, ' even': -3.5294442, ' 1': -5.1666236, ' Odd': -5.2723556, ' an': -6.4439406}
{' ': -6.228288, ' an': -5.9632945, ' "': -6.0440917, ' odd': -6.334347, ' even': -0.014784639}
{'\n': -5.6261883, ' Odd': -4.271737, ' 1': -3.8554857, ' odd': -0.058607128, ' even': -4.672303}
{' ': -7.160646, ' an': -6.3587418, ' Even': -6.3657746, ' "': -7.4039836, ' even': -0.006476271}
{' Odd': -4.836346, ' ': -5.9158063, ' an': -5.925456, ' odd': -0.083119325, ' even': -2.8466003}
{' ': -7.385025, ' an': -5.7411947, ' "': -7.3166156, ' odd': -7.4513655, ' even': -0.00648737}
{' Odd': -4.987394, ' ': -6.3117733, ' 1': -6.337485, ' odd': -0.030819707, ' even': -4.2070765}
{':': -7.280653, ' an': -5.3885627, ' Even': -5.8759985, ' "': -6.9434333, ' even': -0.0109688025}
{' odd': -0.056668904, ' Odd': -3.6933074, ' even': -4.7975574, ' 1': -4.9200635, ' an': -5.401869}
{' odd': -0.13612084, ' even': -2.2722359, ' 1': -4.8933764, ':': -5.4226766, ' Odd': -5.8865957}
{' even': -0.01826355, ' an': -5.2793803, ':': -5.35043, ' Even': -6.320777, ' "': -6.3912034}
{' odd': -0.025587585, ' even': -4.5052743, ' Odd': -5.5511446, ' 1': -5.873392, ' "': -6.220718}
{' even': -0.006288995, ' Even': -6.0173063, ' an': -6.7277694, ' ': -7.238902, ':': -7.8233523}
{'\n': -6.314474, ' Odd': -6.0133, ' 1': -4.222332, ' odd': -0.047996722, ' even': -3.7737522}
{' ': -6.8514943, ' an': -5.8516083, ' Even': -7.2893558, ' 0': -7.302316, ' even': -0.0068071214}
{' odd': -0.11528847, ' even': -2.6445692, ' Odd': -4.106875, ':': -4.997728, ' an': -5.7037125}
{' even': -0.013852404, '\n': -5.9758244, ' ': -5.999922, ' an': -6.2768784, ' odd': -6.4162235}
{' Odd': -4.5928493, ' an': -5.9349313, ' 1': -4.0934086, ' odd': -0.052695617, ' even': -4.0281444}
{' Odd': -3.8826725, ':': -3.7560494, ' 1': -4.8609385, ' odd': -0.37711653, ' even': -1.4416287}
{' even': -0.013107565, ' 0': -5.298665, ' an': -6.020433, ' ': -7.171725, ' Even': -7.1786923}
{' odd': -0.02505512, ' Odd': -4.7116632, ' even': -4.982333, ' 1': -6.078393, ' an': -6.2846007}
{' ': -6.5301867, ' an': -5.5913596, ' Even': -6.3254795, ' "': -6.333643, ' even': -0.011813673}
{' Odd': -5.717496, ' an': -5.379858, ' 1': -4.3864202, ' odd': -0.58364487, ' even': -0.8977719}
{' even': -0.0077830832, ':': -6.247594, ' Even': -6.4737597, '\n': -6.984316, ' an': -7.143814}
{' odd': -0.14433996, ' 1': -2.0787005, ' even': -5.2962046, ' Odd': -6.635776, ' an': -7.472453}
{' even': -0.02026877, ' an': -4.4773116, ' Even': -6.450249, ' "': -6.476746, ' odd': -6.5247173}
{' Odd': -4.7333026, ' an': -6.2878914, ' 1': -3.7654605, ' odd': -0.04374471, ' even': -5.366004}
{' Odd': -5.2007337, ' an': -4.336568, ' "': -4.6250024, ' odd': -0.73961055, ' even': -0.744707}
{':': -6.393625, ' Even': -7.0824623, ' EVEN': -7.2917957, ' 0': -7.641906, ' even': -0.005516798}
{'\n': -5.7701426, ' Odd': -4.204638, ':': -5.279639, ' 1': -5.851774, ' odd': -0.03378734}
{' even': -0.008276065, ':': -6.4534764, ' Even': -6.7647886, ' 0': -6.8309155, ' an': -7.030644}
{' odd': -0.3062248, ' 1': -1.8420275, ' even': -2.3415031, ' Odd': -5.9961486, ' an': -6.4360623}
{' an': -3.7115767, ' considered': -6.481715, ' Even': -6.1315317, ' "': -6.0572047, ' even': -0.036226038}
{' odd': -0.06577069, ' even': -3.7347653, ' 1': -4.2557435, '\n': -4.5251374, ' ': -5.376985}
{' ': -7.5139494, ' an': -6.4652658, ' Even': -6.4716053, ' "': -6.5410895, ' even': -0.0066778036}
{' odd': -0.06647716, ' Odd': -3.5898414, ' even': -3.771435, ' an': -4.9085016, ' "': -6.541412}
{' Odd': -4.799604, ':': -4.3998895, ' "': -5.4824924, ' odd': -0.5963139, ' even': -0.9098803}
{' even': -0.010043844, ' an': -6.139383, ' "': -6.4060755, ' 0': -6.8353453, ':': -7.0829835}
{' Odd': -5.666684, ' ': -6.8662043, ' 1': -4.456881, ' odd': -0.02923554, ' even': -4.6746373}
{' even': -0.010516516, ' an': -5.6926007, ' 0': -6.352573, ' Even': -6.535741, ' ': -7.2355204}
{' Odd': -5.4243937, ':': -5.519592, ' 1': -4.437057, ' odd': -0.39955828, ' even': -1.2241013}
{' even': -0.010596511, ' 0': -5.893163, ' an': -6.04451, ':': -6.9326334, ' odd': -7.3596773}
{' odd': -0.04866424, ' Odd': -3.7708943, ' even': -4.8180256, ':': -5.3413925, ' an': -5.7792854}
{':': -5.3057184, ' an': -4.3750143, ' Even': -5.3968973, ' "': -5.5036936, ' even': -0.036080375}
{' Odd': -4.694243, ' an': -5.1424003, ' 1': -4.65054, ' odd': -0.06321961, ' even': -3.474936}
{' Odd': -5.7889934, ':': -5.909114, ' 1': -4.6252265, ' odd': -0.22586423, ' even': -1.7200696}
{':': -5.4736795, ' an': -6.3631487, ' Even': -5.7395844, ' EVEN': -6.583818, ' even': -0.0151091125}
{'\n': -5.691492, ' an': -5.1595354, ' 1': -3.4489923, ' odd': -0.10372279, ' even': -3.1280844}
{' ': -7.703108, ' an': -7.036291, ' Even': -7.341938, ' 0': -6.1739807, ' even': -0.00525498}
{' odd': -0.49775317, ' 1': -1.4152603, ' even': -2.1412153, ' 0': -4.2689075, '\n': -5.444456}
{' even': -0.0109034795, ' an': -5.5371046, ' ': -6.571526, ' "': -6.623178, ' Even': -6.751223}
{' odd': -0.1115825, ' even': -2.9655147, ' 1': -3.361754, ' an': -5.3054137, ' Odd': -5.818559}
{' an': -4.940869, ' Even': -6.6805286, ' "': -6.581353, ' odd': -7.0235686, ' even': -0.013505504}
{' Odd': -3.568734, ' an': -4.788405, ' 1': -4.582636, ' odd': -0.078946106, ' even': -3.8285491}
{'\n': -4.948691, ':': -4.5581756, ' 1': -3.7778754, ' odd': -0.5505921, ' even': -1.0294473}
{' an': -4.870455, ' "': -6.535212, ' odd': -5.9794374, ' 0': -5.497837, ' even': -0.02345467}
{' Odd': -5.5721655, ' an': -6.936766, ' 1': -4.542878, ' odd': -0.026091645, ' even': -4.945217}
{' even': -0.0085778115, ' an': -5.9103627, ' Even': -6.899032, ' odd': -6.980538, ':': -7.205437}
{' odd': -0.23956127, ' even': -2.1390133, ' 1': -2.5717833, ' ': -5.514431, ' an': -5.901876}
{' ': -7.3633914, ' an': -4.543645, ' Even': -5.9836583, ' "': -6.2056475, ' even': -0.019417884}
{' Odd': -5.568738, ' an': -6.292423, ' 1': -6.1780396, ' odd': -0.022655768, ' even': -4.4231787}
{' even': -0.0071809427, ' an': -6.2631717, ':': -6.677519, ' Even': -6.8174405, ' odd': -6.9273095}
{' Odd': -4.1847463, ' an': -5.5449476, ' 1': -6.188617, ' odd': -0.037370373, ' even': -4.4690185}
{' odd': -0.58323824, ' even': -1.2090983, ':': -3.0986848, ' "': -3.6356466, ' an': -4.1711307}
{':': -7.06219, ' an': -6.831065, ' Even': -7.074583, ' "': -7.1052876, ' even': -0.005917901}
{' Odd': -4.573636, ':': -5.193475, ' 1': -4.1577387, ' odd': -0.108959325, ' even': -2.9322453}
{' even': -0.0076120193, ' an': -6.2352204, ' Even': -6.650329, ' "': -6.7800145, ' ': -6.7933817}
{' odd': -0.20639311, ' even': -2.0158107, ' 1': -3.3692667, '\n': -4.9248652, ' ': -5.5116773}
{' even': -0.009713245, ' an': -6.0564246, ' Even': -6.2905064, ' "': -6.501626, ':': -6.6031446}
{' Odd': -5.3780413, ' an': -5.8133483, ' 1': -5.918847, ' odd': -0.050069913, ' even': -3.3149433}
{':': -7.868932, ' an': -6.540898, ' Even': -7.136213, ' "': -7.5950136, ' even': -0.0040664105}
{'\n': -5.5162044, ' Odd': -3.4700766, ':': -4.8994856, ' odd': -0.09891223, ' even': -3.399827}
{' Odd': -4.980637, ':': -4.6880593, ' an': -5.3931794, ' odd': -0.59717226, ' even': -0.8783937}
{' even': -0.024772556, ':': -5.1314692, ' "': -5.552591, ' an': -5.717994, ' ': -6.2089124}
{' Odd': -4.3215547, ' 1': -6.1480627, ' "': -5.4796042, ' odd': -0.04446662, ' even': -4.1507382}
{'\n': -6.29947, ' ': -6.628154, ':': -5.7586746, ' Even': -6.25625, ' even': -0.011224046}
{' Odd': -3.778696, ':': -4.739789, ' 1': -4.9947386, ' odd': -0.10778638, ' even': -2.9103622}
{' ': -7.5594234, ' an': -7.119339, ' odd': -8.116763, ' 0': -5.4477124, ' even': -0.007497371}
{' Odd': -5.6575856, ' an': -6.44941, ' 1': -4.0970125, ' odd': -0.03632468, ' even': -4.7578554}
{' even': -0.014430703, ' an': -4.90526, ' odd': -6.392544, ' "': -6.7662206, ' ': -7.0561414}
{' Odd': -4.762103, ' an': -4.980128, ' 1': -6.412036, ' odd': -0.071817674, ' even': -3.0560222}
{' Odd': -5.587427, ' 1': -5.093203, ' "': -6.1138487, ' odd': -0.08627151, ' even': -2.8282585}
{' ': -7.421418, ' an': -6.0529323, ' 1': -7.224268, ' 0': -4.328286, ' even': -0.019885521}
{' odd': -0.034550153, ' 1': -4.4169183, ' even': -5.036636, ' Odd': -5.116444, '\n': -5.5776663}
{' ': -8.163452, ' an': -7.7951016, ' Even': -6.3724775, ' EVEN': -8.253475, ' even': -0.003477322}
{' odd': -0.11585037, ' even': -2.4393616, ' Odd': -5.0769515, ' 1': -5.7651286, ' "': -5.882589}
{' ': -8.208065, ' an': -6.323184, ' Even': -6.87765, ' "': -7.4690275, ' even': -0.0046144095}
{' Odd': -4.9137383, ' an': -6.0970154, ' 1': -6.553702, ' odd': -0.024865981, ' even': -4.604538}
{' even': -0.01262902, ' an': -5.1862917, ' Even': -6.236112, ' "': -6.7001777, ':': -6.80652}
{' Odd': -3.0779972, ' an': -4.8403673, ' 1': -4.842264, ' odd': -0.09603113, ' even': -3.8831613}
{' **': -3.976264, '\n': -3.8492928, ':': -3.0359602, ' odd': -0.38529983, ' even': -1.7161038}
{':': -6.4801974, ' an': -4.8660903, ' considered': -6.527326, ' "': -5.8593154, ' even': -0.019962806}
{' odd': -0.10666712, ' even': -2.5428417, ' Odd': -4.8501406, ' 1': -5.1367855, ':': -5.7284875}
{' ': -7.541152, ' an': -6.9656653, ' Even': -7.1234984, ' "': -7.4190288, ' even': -0.0044024535}
{' Odd': -5.1406264, ' ': -7.038536, ':': -6.931926, ' odd': -0.049429487, ' even': -3.2621293}
{'\n': -8.340672, ' ': -7.886728, ' an': -6.8372808, ' Even': -7.1174603, ' even': -0.00368938}
{' Odd': -5.282501, ' an': -6.4435754, ' 1': -6.601861, ' odd': -0.03130506, ' even': -3.982983}
{' ': -7.3743134, ':': -8.314465, ' an': -7.2974997, ' Even': -7.420269, ' even': -0.002774409}
{' Odd': -3.3761146, ' an': -5.889883, ' 1': -5.107652, ' odd': -0.053529542, ' even': -5.4381185}
{':': -4.746916, ' an': -4.715658, ' "': -4.693539, ' odd': -0.5990581, ' even': -0.92505085}
{' even': -0.0146558, ':': -5.1174827, ' an': -6.0529294, ' "': -6.771779, ' odd': -6.846919}
{'\n': -5.462512, ' Odd': -4.5890074, ' 1': -6.0975404, ' odd': -0.026745994, ' even': -5.5877304}
{' ': -6.763677, ' an': -6.486206, ' odd': -7.331173, ' 0': -7.299073, ' even': -0.006344419}
{' odd': -0.07371675, ' even': -3.4229596, ' Odd': -3.695394, ':': -5.5900283, ' 1': -5.753244}
{' an': -5.951202, ' Even': -6.645576, ' "': -6.624514, ' odd': -6.8138127, ' even': -0.00810107}
{' Odd': -4.5838747, ' an': -5.4566426, ' 1': -5.2851214, ' odd': -0.055103082, ' even': -3.674886}
{' ': -6.0726075, ':': -7.0406036, ' an': -5.2978144, ' "': -6.8524504, ' even': -0.012770158}
{'\n': -5.434492, ' Odd': -2.7431118, ' an': -5.111911, ' odd': -0.12639268, ' even': -3.6159525}
{' odd': -0.3336548, ' even': -1.3626447, ' "': -5.112758, ' an': -5.2903643, ' 1': -5.3797913}
{' ': -7.5525117, ' an': -6.800115, ' odd': -7.6721535, ' 0': -7.4531746, ' even': -0.0043715034}
{' Odd': -5.668961, ' ': -6.4197354, ' 1': -5.2827854, ' odd': -0.055354405, ' even': -3.3051882}
{' ': -7.1880474, ' an': -5.877691, ' Even': -6.598361, ' "': -7.4839664, ' even': -0.0071467245}
{' Odd': -5.280988, ' an': -4.644589, ' 1': -4.3062234, ' odd': -0.1524752, ' even': -2.238937}
{':': -7.464436, ' an': -7.2490907, ' Even': -6.9770265, ' 0': -5.713921, ' even': -0.007674242}
{' odd': -0.0262219, ' even': -4.0601134, ' Odd': -5.433803, ' an': -6.678832, ' 1': -6.9491177}
{' even': -0.0451878, ' an': -4.012008, ':': -5.159987, ' odd': -5.3050604, ' ': -5.5865035}
{' odd': -0.08179875, ' 1': -3.5757067, ' even': -3.88239, ' Odd': -4.084816, ' an': -5.854682}
{' odd': -0.33436102, ' even': -1.4646757, ' 1': -3.9215667, ' an': -5.0945096, '\n': -5.287694}
{' ': -5.80496, ' an': -4.890079, ' "': -5.6737623, ' odd': -5.233313, ' even': -0.02996534}
{' Odd': -5.028415, ' ': -6.868009, ' 1': -5.2915845, ' odd': -0.018099243, ' even': -6.1787906}
{'\n': -7.709836, ' ': -7.2453194, ':': -7.9732385, ' Even': -6.8790436, ' even': -0.003326484}
{' Odd': -4.164212, ':': -5.2046432, ' 1': -4.3640194, ' odd': -0.31362367, ' even': -1.5277691}
{' an': -6.272889, ' Even': -6.4344378, ' "': -7.256851, ' EVEN': -7.8741446, ' even': -0.005856027}
{' Odd': -5.506519, ' an': -6.543, ' 1': -3.9687438, ' odd': -0.035807464, ' even': -4.9861317}
{' an': -4.2458587, ' Even': -5.691894, ' "': -5.9588284, ' odd': -6.3341384, ' even': -0.0283036}
{' odd': -0.07128351, ' Odd': -3.398669, ' even': -4.39489, ' 1': -4.867003, ' an': -5.254656}
{' ': -5.9572673, ' an': -5.4840255, ' "': -5.102324, ' odd': -0.8055982, ' even': -0.63788503}
{' an': -6.104609, ' 1': -6.8759136, ' odd': -6.4120517, ' 0': -5.1280847, ' even': -0.0150467865}
{'\n': -4.576224, ' Odd': -3.6407173, ':': -3.1380796, ' odd': -0.4259481, ' even': -1.4735565}
{' ': -7.631501, ':': -7.13494, ' an': -7.5840454, ' Even': -6.9329114, ' even': -0.0045254305}
{' Odd': -5.685587, ' 1': -2.4689012, ' odd': -0.24704984, ' 0': -5.4620953, ' even': -2.1624777}
{' ': -7.1649375, ' an': -6.523943, ' Even': -5.628796, ' "': -7.0552344, ' even': -0.008633602}
{' odd': -0.020398457, ' even': -4.7415314, ' 1': -4.967536, ' Odd': -6.3966265, ' an': -6.437785}
{':': -4.7591724, ' an': -5.6352715, ' Even': -5.226907, ' "': -6.678224, ' even': -0.024072854}
{' odd': -0.042628888, ' 1': -4.124458, ' Odd': -4.471379, ' even': -5.0401926, ' "': -6.3981037}
{':': -5.2226615, ' an': -4.9468584, ' "': -5.370318, ' odd': -0.60855323, ' even': -0.8669609}
{':': -7.2502575, ' an': -5.6835384, ' Even': -6.679208, ' "': -6.120188, ' even': -0.011372218}
{'\n': -4.7924013, ' an': -5.073534, ' 1': -3.421072, ' odd': -0.16762951, ' even': -2.4982932}
{' **': -5.7281866, '\n': -5.9731245, ' ': -6.1327176, ':': -6.1318727, ' even': -0.018256813}
{' Odd': -3.265798, ':': -3.2901778, ' 1': -3.97016, ' odd': -0.16142735, ' even': -3.9745035}
{' ': -6.930561, ' an': -5.415773, ' Even': -6.2742224, ' "': -6.7618017, ' even': -0.011881649}
{' Odd': -4.58547, ' an': -4.7927675, ' 1': -4.4847174, ' odd': -0.12112438, ' even': -2.6255016}
{' an': -4.3169837, ' Even': -6.436308, ' "': -6.4071536, ' odd': -5.9139547, ' even': -0.024661545}
{' odd': -0.043199934, ' even': -3.7749054, ' 1': -4.48473, ' Odd': -5.9765964, ' an': -6.178237}
